,precision,recall,f1-score,support
nao_suspeito,0.938508064516129,0.7694214876033058,0.8455949137148048,1210.0
suspeito,0.45401174168297453,0.7918088737201365,0.5771144278606966,293.0
accuracy,0.7737857618097139,0.7737857618097139,0.7737857618097139,0.7737857618097139
macro avg,0.6962599030995518,0.7806151806617212,0.7113546707877507,1503.0
weighted avg,0.8440586815553078,0.7737857618097139,0.7932564025003979,1503.0
