,precision,recall,f1-score,support
nao_suspeito,0.9398762157382847,0.8785123966942149,0.9081589064502349,1210.0
suspeito,0.6048387096774194,0.7679180887372014,0.6766917293233082,293.0
accuracy,0.8569527611443779,0.8569527611443779,0.8569527611443779,0.8569527611443779
macro avg,0.772357462707852,0.8232152427157081,0.7924253178867715,1503.0
weighted avg,0.8745628496199657,0.8569527611443779,0.8630358972032691,1503.0
